DT,Kasus (Kumulatif),Kasus Baru,Sembuh (baru),Meninggal (baru)
2020-03-02 00:00:00,2,2,,
2020-03-03 00:00:00,2,,,
2020-03-04 00:00:00,2,,,
2020-03-05 00:00:00,2,,,
2020-03-06 00:00:00,4,2,,
2020-03-07 00:00:00,4,,,
2020-03-08 00:00:00,6,2,,
2020-03-09 00:00:00,19,13,,
2020-03-10 00:00:00,27,8,,
2020-03-11 00:00:00,34,7,2,2
2020-03-12 00:00:00,34,,1,2
2020-03-13 00:00:00,69,35,2,
2020-03-14 00:00:00,96,27,3,1
2020-03-15 00:00:00,117,21,,
2020-03-16 00:00:00,134,17,,
2020-03-17 00:00:00,172,38,1,2
2020-03-18 00:00:00,227,55,2,12
2020-03-19 00:00:00,309,82,4,6
2020-03-20 00:00:00,369,60,1,7
2020-03-21 00:00:00,450,81,4,6
2020-03-22 00:00:00,514,64,9,10
2020-03-23 00:00:00,579,65,1,1
2020-03-24 00:00:00,685,106,,6
2020-03-25 00:00:00,790,105,1,3
2020-03-26 00:00:00,893,103,4,20
2020-03-27 00:00:00,1046,153,11,9
2020-03-28 00:00:00,1155,109,13,15
2020-03-29 00:00:00,1285,130,5,12
2020-03-30 00:00:00,1414,129,11,8
2020-03-31 00:00:00,1528,114,6,14
2020-04-01 00:00:00,1677,149,22,21
2020-04-02 00:00:00,1790,113,9,13
2020-04-03 00:00:00,1986,196,22,11
2020-04-04 00:00:00,2092,106,16,10
2020-04-05 00:00:00,2273,181,14,7
2020-04-06 00:00:00,2491,218,28,11
2020-04-07 00:00:00,2738,247,12,12
2020-04-08 00:00:00,2956,218,18,19
2020-04-09 00:00:00,3293,337,30,40
2020-04-10 00:00:00,3512,219,30,26
2020-04-11 00:00:00,3842,330,4,21
2020-04-12 00:00:00,4241,399,73,46
2020-04-13 00:00:00,4557,316,21,26
2020-04-14 00:00:00,4839,282,46,60
2020-04-15 00:00:00,5136,297,20,10
2020-04-16 00:00:00,5516,380,102,27
2020-04-17 00:00:00,5923,407,59,24
2020-04-18 00:00:00,6248,325,24,15
2020-04-19 00:00:00,6575,327,55,47
2020-04-20 00:00:00,6760,185,61,8
2020-04-21 00:00:00,7135,375,95,26
2020-04-22 00:00:00,7418,283,71,20
2020-04-23 00:00:00,7775,357,47,11
2020-04-24 00:00:00,8211,436,42,42
2020-04-25 00:00:00,8607,396,40,31
2020-04-26 00:00:00,8882,275,65,23
