Date,Country/Region,Cumulative Cases
2020-01-22 00:00:00,Thailand,2
2020-01-23 00:00:00,Singapore,1
2020-01-23 00:00:00,Thailand,3
2020-01-23 00:00:00,Vietnam,2
2020-01-24 00:00:00,Singapore,3
2020-01-24 00:00:00,Thailand,5
2020-01-24 00:00:00,Vietnam,2
2020-01-25 00:00:00,Malaysia,3
2020-01-25 00:00:00,Singapore,3
2020-01-25 00:00:00,Thailand,7
2020-01-25 00:00:00,Vietnam,2
2020-01-26 00:00:00,Malaysia,4
2020-01-26 00:00:00,Singapore,4
2020-01-26 00:00:00,Thailand,8
2020-01-26 00:00:00,Vietnam,2
2020-01-27 00:00:00,Malaysia,4
2020-01-27 00:00:00,Singapore,5
2020-01-27 00:00:00,Thailand,8
2020-01-27 00:00:00,Vietnam,2
2020-01-28 00:00:00,Malaysia,4
2020-01-28 00:00:00,Singapore,7
2020-01-28 00:00:00,Thailand,14
2020-01-28 00:00:00,Vietnam,2
2020-01-29 00:00:00,Malaysia,7
2020-01-29 00:00:00,Singapore,7
2020-01-29 00:00:00,Thailand,14
2020-01-29 00:00:00,Vietnam,2
2020-01-30 00:00:00,Malaysia,8
2020-01-30 00:00:00,Philippines,1
2020-01-30 00:00:00,Singapore,10
2020-01-30 00:00:00,Thailand,14
2020-01-30 00:00:00,Vietnam,2
2020-01-31 00:00:00,Malaysia,8
2020-01-31 00:00:00,Philippines,1
2020-01-31 00:00:00,Singapore,13
2020-01-31 00:00:00,Thailand,19
2020-01-31 00:00:00,Vietnam,2
2020-02-01 00:00:00,Malaysia,8
2020-02-01 00:00:00,Philippines,1
2020-02-01 00:00:00,Singapore,16
2020-02-01 00:00:00,Thailand,19
2020-02-01 00:00:00,Vietnam,6
2020-02-02 00:00:00,Malaysia,8
2020-02-02 00:00:00,Philippines,2
2020-02-02 00:00:00,Singapore,18
2020-02-02 00:00:00,Thailand,19
2020-02-02 00:00:00,Vietnam,6
2020-02-03 00:00:00,Malaysia,8
2020-02-03 00:00:00,Philippines,2
2020-02-03 00:00:00,Singapore,18
2020-02-03 00:00:00,Thailand,19
2020-02-03 00:00:00,Vietnam,8
2020-02-04 00:00:00,Malaysia,10
2020-02-04 00:00:00,Philippines,2
2020-02-04 00:00:00,Singapore,24
2020-02-04 00:00:00,Thailand,25
2020-02-04 00:00:00,Vietnam,8
2020-02-05 00:00:00,Malaysia,12
2020-02-05 00:00:00,Philippines,2
2020-02-05 00:00:00,Singapore,28
2020-02-05 00:00:00,Thailand,25
2020-02-05 00:00:00,Vietnam,8
2020-02-06 00:00:00,Malaysia,12
2020-02-06 00:00:00,Philippines,2
2020-02-06 00:00:00,Singapore,28
2020-02-06 00:00:00,Thailand,25
2020-02-06 00:00:00,Vietnam,10
2020-02-07 00:00:00,Malaysia,12
2020-02-07 00:00:00,Philippines,3
2020-02-07 00:00:00,Singapore,30
2020-02-07 00:00:00,Thailand,25
2020-02-07 00:00:00,Vietnam,10
2020-02-08 00:00:00,Malaysia,16
2020-02-08 00:00:00,Philippines,3
2020-02-08 00:00:00,Singapore,33
2020-02-08 00:00:00,Thailand,32
2020-02-08 00:00:00,Vietnam,13
2020-02-09 00:00:00,Malaysia,16
2020-02-09 00:00:00,Philippines,3
2020-02-09 00:00:00,Singapore,40
2020-02-09 00:00:00,Thailand,32
2020-02-09 00:00:00,Vietnam,13
2020-02-10 00:00:00,Malaysia,18
2020-02-10 00:00:00,Philippines,3
2020-02-10 00:00:00,Singapore,45
2020-02-10 00:00:00,Thailand,32
2020-02-10 00:00:00,Vietnam,14
2020-02-11 00:00:00,Malaysia,18
2020-02-11 00:00:00,Philippines,3
2020-02-11 00:00:00,Singapore,47
2020-02-11 00:00:00,Thailand,33
2020-02-11 00:00:00,Vietnam,15
2020-02-12 00:00:00,Malaysia,18
2020-02-12 00:00:00,Philippines,3
2020-02-12 00:00:00,Singapore,50
2020-02-12 00:00:00,Thailand,33
2020-02-12 00:00:00,Vietnam,15
2020-02-13 00:00:00,Malaysia,19
2020-02-13 00:00:00,Philippines,3
2020-02-13 00:00:00,Singapore,58
2020-02-13 00:00:00,Thailand,33
2020-02-13 00:00:00,Vietnam,16
2020-02-14 00:00:00,Malaysia,19
2020-02-14 00:00:00,Philippines,3
2020-02-14 00:00:00,Singapore,67
2020-02-14 00:00:00,Thailand,33
2020-02-14 00:00:00,Vietnam,16
2020-02-15 00:00:00,Malaysia,22
2020-02-15 00:00:00,Philippines,3
2020-02-15 00:00:00,Singapore,72
2020-02-15 00:00:00,Thailand,33
2020-02-15 00:00:00,Vietnam,16
2020-02-16 00:00:00,Malaysia,22
2020-02-16 00:00:00,Philippines,3
2020-02-16 00:00:00,Singapore,75
2020-02-16 00:00:00,Thailand,34
2020-02-16 00:00:00,Vietnam,16
2020-02-17 00:00:00,Malaysia,22
2020-02-17 00:00:00,Philippines,3
2020-02-17 00:00:00,Singapore,77
2020-02-17 00:00:00,Thailand,35
2020-02-17 00:00:00,Vietnam,16
2020-02-18 00:00:00,Malaysia,22
2020-02-18 00:00:00,Philippines,3
2020-02-18 00:00:00,Singapore,81
2020-02-18 00:00:00,Thailand,35
